Policy Name,Customer Age,Occupation,Income,Education,Marital Status,Tenure (Years),Premium (INR),Coverage (INR),Family Size,Gender,Region,Policy Type
Jeevan Lakshya,45,Unemployed,199744,Diploma,Married,9,43861,414639,2,Female,North,Life
Jeevan Rakshak,45,Farmer,190791,Post Graduate,Single,6,17080,491855,4,Male,East,Commercial
Jeevan Umang,32,Farmer,130648,Doctorate,Widowed,22,28155,128973,10,Female,Central,Commercial
Jeevan Nidhi,18,Teacher,88134,Graduate,Widowed,11,17779,140636,2,Male,South,Motor
Jeevan Shanti,54,Engineer,102506,High School,Married,30,48925,177889,3,Male,South,Home
Jeevan Anand,19,Business,57506,Graduate,Married,25,16585,184374,2,Male,South,Agricultural
Jeevan Lakshya,29,Student,123300,Diploma,Married,24,35143,462423,5,Male,Central,Travel
Jeevan Nidhi,22,Farmer,31863,Doctorate,Single,15,47537,166492,3,Male,West,Motor
Jeevan Umang,36,Student,143700,High School,Divorced,1,41809,175717,9,Other,Central,Life
Jeevan Arogya,29,Business,40021,Doctorate,Divorced,3,49506,307948,7,Other,North,Travel
Jeevan Nidhi,59,Student,94338,Doctorate,Divorced,24,32589,445726,7,Male,West,Travel
Jeevan Arogya,24,Student,176355,Post Graduate,Married,26,19104,275403,6,Other,East,Travel
Jeevan Amar,31,Doctor,74070,High School,Single,17,33356,330043,4,Female,North,Personal Accident
Jeevan Nidhi,19,Retired,87332,High School,Widowed,24,28985,133724,1,Other,North,Travel
Jeevan Umang,45,Farmer,165821,High School,Divorced,29,20237,101315,6,Other,East,Life
Jeevan Arogya,44,Business,175994,High School,Married,10,47519,150037,7,Other,Central,Travel
Jeevan Labh,19,Doctor,162920,Graduate,Married,7,12406,316372,9,Female,West,Life
Jeevan Amar,41,Doctor,199625,Graduate,Divorced,7,10553,496101,7,Female,East,Personal Accident
Jeevan Nidhi,28,Teacher,100928,Doctorate,Widowed,8,43684,374684,1,Other,East,Health
Jeevan Labh,55,Teacher,34868,High School,Divorced,22,21890,216818,10,Female,Central,Life
Jeevan Tarun,45,Business,52348,Doctorate,Widowed,11,49188,340981,2,Other,North,Motor
Jeevan Rakshak,19,Farmer,140819,Diploma,Widowed,22,44876,475909,10,Other,West,Commercial
Jeevan Nidhi,57,Farmer,32411,High School,Single,16,27831,225359,4,Other,North,Health
Jeevan Labh,30,Engineer,83640,Doctorate,Single,2,18365,102229,6,Male,Central,Home
Jeevan Arogya,36,Engineer,75546,Doctorate,Single,21,34507,209878,8,Female,West,Health
Jeevan Tarun,32,Student,43048,Graduate,Single,10,42422,395052,7,Other,East,Motor
Jeevan Labh,33,Farmer,115540,High School,Divorced,4,40902,320714,1,Other,West,Personal Accident
Jeevan Umang,62,Farmer,115904,Diploma,Divorced,1,16627,403703,3,Other,North,Personal Accident
Jeevan Nidhi,29,Teacher,39077,High School,Married,19,10355,278825,2,Male,Central,Agricultural
Jeevan Anand,58,Doctor,127167,Diploma,Divorced,21,19934,303918,1,Other,East,Personal Accident
Jeevan Tarun,42,Teacher,133056,Doctorate,Single,18,11068,274590,10,Other,West,Travel
Jeevan Shanti,45,Teacher,190193,Post Graduate,Single,15,47755,219708,4,Female,East,Travel
Jeevan Umang,46,Unemployed,41286,Diploma,Widowed,8,21047,478979,1,Female,North,Agricultural
Jeevan Labh,21,Retired,174203,Post Graduate,Single,23,44415,333338,8,Other,East,Commercial
Jeevan Lakshya,45,Business,146110,High School,Divorced,15,9771,481053,2,Male,South,Commercial
Jeevan Tarun,40,Teacher,64387,High School,Widowed,25,29897,464546,1,Other,West,Life
Jeevan Lakshya,57,Unemployed,144157,Diploma,Widowed,12,21847,247650,1,Other,East,Home
Jeevan Rakshak,54,Unemployed,130936,Diploma,Divorced,12,41282,167156,6,Other,North,Personal Accident
Jeevan Umang,61,Teacher,153734,Post Graduate,Widowed,25,25808,369572,5,Other,North,Life
Jeevan Umang,43,Engineer,171781,High School,Single,18,13545,201141,7,Female,South,Life
Jeevan Shanti,63,Farmer,129208,Graduate,Single,10,11208,489841,6,Female,North,Health
Jeevan Shanti,41,Doctor,154986,Diploma,Widowed,28,26138,280394,10,Female,North,Agricultural
Jeevan Umang,65,Student,30444,Post Graduate,Widowed,27,12421,192810,5,Female,Central,Agricultural
Jeevan Lakshya,51,Business,189251,Doctorate,Single,26,49621,126206,3,Male,East,Life
Jeevan Tarun,61,Engineer,33049,Doctorate,Single,13,37806,456787,3,Male,South,Home
Jeevan Tarun,32,Engineer,89076,Graduate,Widowed,6,48138,485539,10,Female,North,Agricultural
Jeevan Lakshya,57,Farmer,167150,Doctorate,Single,26,45218,213330,1,Female,Central,Motor
Jeevan Umang,32,Farmer,33544,Diploma,Single,23,16362,109359,6,Female,East,Travel
Jeevan Rakshak,18,Student,74123,High School,Married,13,10676,407436,5,Other,Central,Motor
Jeevan Arogya,32,Student,54388,Doctorate,Divorced,13,22121,221660,10,Other,East,Home
Jeevan Shanti,46,Student,66459,High School,Divorced,29,38052,107905,2,Other,East,Life
Jeevan Nidhi,22,Business,169955,Graduate,Single,18,47755,145785,6,Male,South,Personal Accident
Jeevan Labh,51,Engineer,116131,High School,Married,27,40119,355786,2,Female,West,Personal Accident
Jeevan Amar,35,Retired,170043,Diploma,Single,6,18195,103190,5,Male,Central,Personal Accident
Jeevan Tarun,57,Unemployed,36215,Diploma,Widowed,2,41153,247790,5,Other,East,Health
Jeevan Rakshak,19,Teacher,116667,Doctorate,Divorced,23,36515,407380,10,Female,North,Personal Accident
Jeevan Shanti,59,Retired,95989,Diploma,Widowed,14,43565,140086,6,Female,Central,Agricultural
Jeevan Anand,37,Doctor,71296,Diploma,Divorced,17,44113,313914,2,Other,Central,Personal Accident
Jeevan Labh,47,Teacher,58266,Post Graduate,Divorced,29,46647,362977,2,Male,South,Travel
Jeevan Amar,33,Doctor,40359,Diploma,Divorced,14,48106,465986,2,Male,West,Motor
Jeevan Arogya,50,Student,178180,Diploma,Widowed,30,23099,360547,10,Other,South,Agricultural
Jeevan Labh,26,Doctor,68489,High School,Married,28,35013,314509,7,Other,West,Agricultural
Jeevan Nidhi,31,Retired,37076,Doctorate,Widowed,21,40182,288456,7,Female,North,Motor
Jeevan Arogya,58,Unemployed,112903,Graduate,Single,8,41860,408736,6,Other,West,Personal Accident
Jeevan Rakshak,55,Engineer,95048,Doctorate,Married,16,21322,485692,5,Male,South,Agricultural
Jeevan Lakshya,37,Doctor,69870,Diploma,Single,21,27270,115613,9,Other,Central,Commercial
Jeevan Tarun,54,Unemployed,72312,Doctorate,Divorced,10,11564,231839,9,Other,West,Health
Jeevan Umang,38,Unemployed,98170,Graduate,Single,17,13100,237994,5,Other,North,Health
Jeevan Shanti,62,Engineer,87026,Doctorate,Single,18,12659,205811,9,Male,Central,Personal Accident
Jeevan Tarun,24,Engineer,89771,High School,Single,4,45225,318416,7,Male,West,Health
Jeevan Arogya,21,Retired,119654,Doctorate,Single,6,48203,410642,4,Male,North,Home
Jeevan Shanti,41,Engineer,180977,High School,Married,18,16066,318455,10,Female,West,Life
Jeevan Umang,62,Doctor,95258,Graduate,Divorced,3,28688,387918,5,Female,North,Home
Jeevan Labh,37,Doctor,112278,Diploma,Widowed,25,10845,439470,8,Other,South,Home
Jeevan Arogya,60,Retired,53293,Graduate,Single,23,19387,104131,5,Male,North,Motor
Jeevan Labh,35,Teacher,52182,High School,Widowed,21,29288,103379,8,Other,North,Motor
Jeevan Arogya,41,Unemployed,176119,High School,Divorced,20,27095,472561,1,Other,East,Travel
Jeevan Tarun,50,Retired,30840,Diploma,Married,14,43568,311351,7,Male,East,Travel
Jeevan Rakshak,56,Teacher,63242,Diploma,Single,16,29551,277937,2,Male,West,Motor
Jeevan Nidhi,58,Student,184367,Doctorate,Single,9,38890,416310,10,Male,North,Commercial
Jeevan Arogya,36,Engineer,52959,High School,Divorced,30,12723,218124,6,Male,West,Motor
Jeevan Arogya,23,Student,187886,High School,Widowed,12,43266,308217,2,Female,South,Travel
Jeevan Tarun,58,Business,37345,Doctorate,Widowed,19,32182,469491,5,Other,West,Commercial
Jeevan Anand,41,Engineer,38827,Diploma,Divorced,7,37509,397979,3,Other,East,Commercial
Jeevan Amar,33,Unemployed,147537,Doctorate,Single,11,11282,355640,6,Female,North,Commercial
Jeevan Rakshak,51,Retired,43542,Doctorate,Single,27,43090,337953,1,Male,East,Commercial
Jeevan Lakshya,22,Business,178077,Diploma,Single,26,29614,168903,8,Male,North,Commercial
Jeevan Labh,41,Engineer,126312,Doctorate,Married,2,26282,442311,5,Female,North,Commercial
Jeevan Shanti,65,Retired,151085,Graduate,Widowed,29,35757,244803,1,Other,East,Motor
Jeevan Arogya,38,Teacher,52861,Post Graduate,Married,8,24362,146737,5,Female,North,Agricultural
Jeevan Lakshya,47,Farmer,54709,Diploma,Single,29,37390,482224,2,Male,East,Life
Jeevan Nidhi,39,Farmer,131213,Graduate,Widowed,20,45922,185698,2,Female,West,Motor
Jeevan Shanti,48,Unemployed,194262,High School,Widowed,22,31477,284205,3,Other,East,Travel
Jeevan Lakshya,37,Retired,118933,Diploma,Married,16,12474,105289,10,Other,Central,Personal Accident
Jeevan Umang,45,Unemployed,128328,Diploma,Married,8,27386,114758,1,Male,South,Home
Jeevan Anand,46,Engineer,179416,Diploma,Divorced,27,24324,122157,2,Male,West,Motor
Jeevan Umang,26,Retired,128421,Diploma,Divorced,7,40862,154849,10,Other,East,Life
Jeevan Arogya,53,Business,35907,Doctorate,Widowed,16,46204,147272,1,Other,West,Home
Jeevan Nidhi,56,Doctor,148756,High School,Married,18,42744,397540,6,Female,South,Home
Jeevan Shanti,32,Student,168290,High School,Married,26,6835,105286,9,Other,West,Health
Jeevan Lakshya,28,Student,59803,High School,Married,2,31815,349517,10,Male,South,Life
Jeevan Nidhi,19,Business,63125,Diploma,Single,27,7414,241926,10,Male,East,Life
Jeevan Shanti,45,Retired,196162,High School,Divorced,27,20851,166517,8,Other,South,Life
Jeevan Rakshak,48,Unemployed,119653,Post Graduate,Widowed,14,21011,280086,1,Female,North,Agricultural
Jeevan Amar,30,Teacher,101594,High School,Divorced,6,9247,321420,4,Male,South,Life
Jeevan Tarun,23,Unemployed,170949,Diploma,Single,5,48624,273546,5,Female,North,Life
Jeevan Anand,43,Retired,182357,Diploma,Single,16,22044,398079,6,Female,North,Agricultural
Jeevan Rakshak,42,Retired,103388,Diploma,Married,9,44573,318246,7,Male,South,Motor
Jeevan Amar,57,Engineer,115527,Graduate,Widowed,2,13843,163442,4,Male,Central,Agricultural
Jeevan Shanti,21,Engineer,142764,Diploma,Divorced,16,23359,438609,8,Male,West,Motor
Jeevan Shanti,23,Teacher,101952,Post Graduate,Single,22,22769,451056,7,Other,Central,Agricultural
Jeevan Amar,26,Engineer,121480,Diploma,Widowed,18,30835,311305,6,Male,North,Agricultural
Jeevan Umang,25,Engineer,33085,Graduate,Single,17,49769,154871,6,Female,South,Life
Jeevan Nidhi,34,Doctor,155696,Diploma,Divorced,29,11394,270176,9,Other,Central,Health
Jeevan Arogya,54,Business,146214,Graduate,Divorced,24,13954,111130,3,Other,North,Personal Accident
Jeevan Rakshak,65,Doctor,45355,Diploma,Widowed,1,31279,284173,6,Female,East,Personal Accident
Jeevan Nidhi,48,Farmer,175264,Doctorate,Divorced,12,41217,470612,5,Other,West,Health
Jeevan Amar,52,Engineer,45085,High School,Single,3,39129,105476,4,Male,North,Commercial
Jeevan Shanti,27,Farmer,124896,Diploma,Divorced,2,25877,229978,2,Other,North,Health
Jeevan Anand,56,Student,161185,Graduate,Divorced,12,38684,292972,4,Male,South,Motor
Jeevan Tarun,34,Farmer,104221,Doctorate,Single,12,8182,476601,1,Male,East,Life
Jeevan Amar,18,Retired,60727,Doctorate,Widowed,30,18150,313392,1,Other,South,Personal Accident
Jeevan Shanti,45,Student,117589,Doctorate,Married,4,21423,126265,5,Female,North,Home
Jeevan Nidhi,48,Business,45439,Post Graduate,Divorced,7,39922,260918,6,Female,South,Commercial
Jeevan Lakshya,21,Student,189824,Diploma,Divorced,13,41923,183979,3,Female,South,Motor
Jeevan Arogya,21,Farmer,109787,Doctorate,Divorced,13,9343,192820,4,Male,East,Life
Jeevan Shanti,52,Engineer,36141,High School,Divorced,21,11358,493506,3,Female,West,Home
Jeevan Rakshak,53,Retired,65900,Post Graduate,Single,13,8487,289905,3,Female,East,Home
Jeevan Rakshak,29,Doctor,159796,Diploma,Married,3,42472,366016,8,Female,East,Motor
Jeevan Tarun,61,Teacher,173337,Graduate,Married,29,16778,322744,6,Male,West,Health
Jeevan Anand,44,Business,75091,Diploma,Single,27,9821,481342,7,Male,West,Commercial
Jeevan Tarun,24,Business,35922,Graduate,Single,2,34067,407644,7,Male,South,Personal Accident
Jeevan Tarun,63,Doctor,122114,Graduate,Single,7,17143,462879,5,Other,Central,Life
Jeevan Lakshya,24,Unemployed,60791,High School,Widowed,25,34809,221963,1,Female,Central,Life
Jeevan Rakshak,53,Doctor,48679,Diploma,Married,7,12523,208257,7,Male,North,Motor
Jeevan Labh,58,Teacher,145139,Post Graduate,Divorced,27,46408,342172,10,Female,North,Home
Jeevan Labh,31,Engineer,171200,Post Graduate,Single,1,23729,499130,8,Other,Central,Commercial
Jeevan Nidhi,23,Engineer,104657,Doctorate,Divorced,4,23293,461622,5,Male,West,Travel
Jeevan Shanti,60,Student,101196,Diploma,Single,13,17135,228380,1,Male,South,Commercial
Jeevan Shanti,65,Doctor,140844,Post Graduate,Divorced,19,43115,249530,8,Male,East,Commercial
Jeevan Amar,36,Teacher,118881,High School,Divorced,30,32511,209357,10,Other,North,Motor
Jeevan Rakshak,32,Teacher,47664,High School,Divorced,3,36338,129324,10,Male,Central,Life
Jeevan Labh,51,Engineer,130961,High School,Married,28,46594,442172,9,Male,West,Personal Accident
Jeevan Tarun,56,Engineer,149113,Doctorate,Divorced,17,30947,214564,5,Female,North,Travel
Jeevan Labh,57,Doctor,88321,Graduate,Single,15,39327,382793,2,Female,East,Travel
Jeevan Labh,23,Farmer,118527,Post Graduate,Married,30,25203,497122,10,Male,West,Life
Jeevan Shanti,37,Student,108855,Doctorate,Married,11,14291,220108,5,Other,Central,Motor
Jeevan Arogya,18,Unemployed,149435,Doctorate,Single,24,6195,168146,6,Female,North,Travel
Jeevan Anand,30,Business,196996,Post Graduate,Single,7,28853,380853,5,Female,Central,Life
Jeevan Amar,45,Farmer,146457,Doctorate,Divorced,15,30412,424436,8,Female,South,Health
Jeevan Tarun,48,Engineer,184858,Graduate,Widowed,1,38733,309498,9,Male,North,Commercial
Jeevan Anand,27,Student,41698,Graduate,Single,10,16080,182549,6,Other,East,Personal Accident
Jeevan Labh,52,Student,120861,High School,Married,16,48011,436007,5,Other,West,Home
Jeevan Nidhi,29,Student,39802,Diploma,Single,8,17014,252865,5,Female,South,Personal Accident
Jeevan Tarun,37,Unemployed,160947,Graduate,Married,5,21718,110449,1,Other,North,Home
Jeevan Tarun,18,Teacher,53231,Graduate,Divorced,9,28640,493655,1,Female,East,Travel
Jeevan Arogya,29,Farmer,190474,Doctorate,Single,12,9130,353953,6,Other,North,Agricultural
Jeevan Labh,60,Farmer,110563,Post Graduate,Married,25,44002,438190,5,Other,West,Life
Jeevan Nidhi,39,Retired,61046,Post Graduate,Divorced,10,45016,357463,7,Female,South,Agricultural
Jeevan Amar,43,Teacher,55008,Diploma,Single,10,41423,474620,10,Female,Central,Home
Jeevan Nidhi,37,Doctor,157078,Post Graduate,Married,29,23293,476310,3,Male,South,Health
Jeevan Rakshak,44,Doctor,125493,Post Graduate,Widowed,4,7172,334896,1,Other,North,Home
Jeevan Lakshya,63,Engineer,129258,Graduate,Divorced,26,49056,421846,2,Other,South,Life
Jeevan Nidhi,64,Doctor,140198,Graduate,Widowed,11,40863,322102,3,Other,East,Commercial
Jeevan Rakshak,65,Teacher,38677,Doctorate,Married,9,46973,305585,5,Male,West,Personal Accident
Jeevan Amar,20,Business,161306,Doctorate,Married,24,41695,424145,6,Female,South,Commercial
Jeevan Amar,58,Teacher,72967,High School,Divorced,28,26196,144375,6,Male,West,Commercial
Jeevan Amar,51,Doctor,88009,Doctorate,Widowed,1,27367,216223,2,Male,Central,Home
Jeevan Shanti,46,Business,154470,High School,Widowed,14,15918,118586,7,Male,Central,Commercial
Jeevan Rakshak,33,Teacher,145915,High School,Single,20,10396,227951,4,Male,East,Personal Accident
Jeevan Arogya,42,Unemployed,197326,Doctorate,Single,18,28775,222659,10,Female,North,Personal Accident
Jeevan Umang,32,Farmer,190413,Diploma,Widowed,8,22001,203981,8,Male,East,Personal Accident
Jeevan Labh,47,Retired,157343,Doctorate,Widowed,27,12444,209410,9,Other,North,Life
Jeevan Shanti,30,Student,150280,Diploma,Divorced,12,41082,375206,2,Male,Central,Commercial
Jeevan Anand,37,Doctor,182362,High School,Married,12,21540,408221,4,Other,South,Life
Jeevan Umang,25,Business,72319,High School,Married,2,15995,113781,1,Female,South,Agricultural
Jeevan Arogya,23,Unemployed,188309,Doctorate,Divorced,27,13386,194799,7,Male,North,Travel
Jeevan Umang,25,Retired,194622,Graduate,Married,24,36554,244640,1,Other,West,Travel
Jeevan Nidhi,21,Teacher,71734,High School,Married,8,20499,336118,10,Other,North,Agricultural
Jeevan Shanti,65,Doctor,63099,Graduate,Widowed,6,41435,446127,4,Female,East,Travel
Jeevan Labh,26,Student,112182,Doctorate,Single,13,21232,105682,6,Male,South,Personal Accident
Jeevan Arogya,32,Engineer,83753,Doctorate,Single,18,21232,280951,2,Male,West,Commercial
Jeevan Nidhi,37,Doctor,140543,Post Graduate,Widowed,29,10720,154318,5,Male,East,Travel
Jeevan Arogya,57,Retired,82319,Doctorate,Widowed,12,36487,186536,4,Other,North,Home
Jeevan Amar,59,Business,62489,High School,Single,14,34347,291302,6,Female,Central,Motor
Jeevan Lakshya,65,Doctor,197218,Diploma,Married,23,15445,471862,10,Female,North,Life
Jeevan Umang,18,Retired,139560,Graduate,Widowed,24,9087,227413,2,Male,West,Agricultural
Jeevan Umang,24,Doctor,191497,Graduate,Married,29,29648,142501,6,Female,North,Travel
Jeevan Labh,22,Business,132626,Post Graduate,Single,30,19913,276149,8,Male,South,Life
Jeevan Anand,24,Retired,111637,Diploma,Widowed,4,13773,385175,7,Other,Central,Travel
Jeevan Nidhi,65,Teacher,100599,Doctorate,Married,25,49565,398744,1,Other,Central,Agricultural
Jeevan Nidhi,43,Student,35410,Post Graduate,Divorced,29,49265,332282,1,Female,North,Personal Accident
Jeevan Shanti,31,Teacher,198078,Diploma,Divorced,5,48993,353676,7,Other,Central,Personal Accident
Jeevan Tarun,37,Business,73220,Post Graduate,Single,4,5757,486351,1,Other,South,Personal Accident
Jeevan Shanti,53,Student,79141,High School,Married,27,43167,133257,10,Female,Central,Travel
Jeevan Labh,34,Doctor,124217,Doctorate,Divorced,2,27231,312619,2,Female,Central,Commercial
Jeevan Tarun,64,Doctor,114460,Post Graduate,Single,16,18977,166894,8,Female,North,Motor
Jeevan Tarun,45,Student,145537,High School,Married,12,45294,388843,3,Female,Central,Health
Jeevan Nidhi,38,Teacher,36218,Post Graduate,Divorced,7,6134,350553,5,Female,South,Health
Jeevan Labh,23,Business,130186,Doctorate,Divorced,21,27116,399788,8,Male,West,Life
Jeevan Rakshak,20,Student,136091,Doctorate,Single,5,33288,338679,3,Other,South,Health
Jeevan Shanti,46,Engineer,116572,Post Graduate,Single,10,34315,409481,5,Female,East,Motor
Jeevan Labh,62,Business,63680,Post Graduate,Married,10,9030,341029,5,Male,North,Commercial
Jeevan Shanti,44,Engineer,69113,High School,Widowed,18,30270,371783,9,Male,East,Travel
Jeevan Umang,28,Unemployed,167127,Post Graduate,Married,15,39523,336676,9,Female,West,Life
Jeevan Shanti,63,Doctor,103353,High School,Divorced,8,30004,359209,10,Male,East,Personal Accident
Jeevan Rakshak,62,Farmer,59920,Diploma,Married,28,9934,230386,7,Male,Central,Travel
Jeevan Labh,36,Engineer,87635,Diploma,Divorced,4,12312,295048,3,Other,Central,Agricultural
Jeevan Rakshak,24,Engineer,183900,Diploma,Married,14,32113,288337,10,Male,Central,Agricultural
Jeevan Amar,62,Business,177368,Doctorate,Married,15,31747,462073,2,Other,North,Life
Jeevan Arogya,29,Business,147745,Graduate,Widowed,5,38559,433161,1,Other,South,Personal Accident
Jeevan Labh,30,Engineer,128910,Graduate,Widowed,19,47444,363978,1,Female,South,Commercial
Jeevan Nidhi,65,Student,57404,Graduate,Widowed,19,27026,292646,10,Other,South,Life
Jeevan Lakshya,54,Retired,172865,Diploma,Single,23,9121,346203,7,Male,North,Personal Accident
Jeevan Tarun,18,Unemployed,67652,Doctorate,Divorced,21,24367,308398,5,Other,West,Commercial
Jeevan Lakshya,54,Engineer,77719,Diploma,Divorced,10,43281,372106,5,Male,West,Health
Jeevan Lakshya,43,Student,101747,Diploma,Divorced,13,12713,142756,2,Other,North,Health
Jeevan Labh,22,Engineer,145874,Doctorate,Widowed,30,30630,355772,5,Other,East,Travel
Jeevan Amar,38,Unemployed,163633,Diploma,Widowed,20,16502,342773,5,Male,South,Life
Jeevan Anand,40,Retired,106087,High School,Single,6,13478,392027,5,Female,East,Home
Jeevan Shanti,21,Engineer,119335,Doctorate,Widowed,25,41628,228675,3,Female,West,Life
Jeevan Tarun,47,Teacher,79078,Doctorate,Divorced,15,5333,397842,6,Female,East,Home
Jeevan Anand,44,Student,89166,Doctorate,Divorced,13,8226,170612,2,Male,West,Home
Jeevan Labh,65,Doctor,124709,Graduate,Single,18,5628,482181,10,Female,Central,Health
Jeevan Anand,34,Unemployed,33291,Post Graduate,Widowed,14,42320,316701,9,Other,North,Agricultural
Jeevan Shanti,56,Engineer,187162,High School,Widowed,9,11527,108937,10,Female,West,Home
Jeevan Rakshak,18,Farmer,54966,Diploma,Married,13,8495,117582,7,Male,West,Home
Jeevan Rakshak,18,Teacher,137584,High School,Divorced,28,38245,289743,1,Male,East,Commercial
Jeevan Rakshak,31,Farmer,173531,Graduate,Widowed,23,30264,227196,5,Other,East,Home
Jeevan Labh,42,Teacher,171803,Doctorate,Widowed,3,5416,493901,4,Female,Central,Home
Jeevan Labh,54,Engineer,126684,Post Graduate,Divorced,1,46237,464789,5,Male,West,Travel
Jeevan Arogya,59,Farmer,57925,Diploma,Married,2,9865,346090,7,Other,North,Travel
Jeevan Labh,59,Doctor,90577,Post Graduate,Single,10,13239,281451,4,Other,West,Motor
Jeevan Labh,52,Doctor,117634,Diploma,Single,18,34114,139815,1,Male,West,Commercial
Jeevan Umang,49,Unemployed,166543,Doctorate,Married,23,27857,491290,6,Other,North,Health
Jeevan Nidhi,28,Unemployed,38748,High School,Divorced,22,11345,346674,5,Other,West,Agricultural
Jeevan Anand,25,Retired,83018,High School,Married,13,19628,268110,10,Male,Central,Travel
Jeevan Arogya,27,Doctor,193840,High School,Widowed,22,19372,340796,10,Other,East,Motor
Jeevan Rakshak,21,Unemployed,51718,Doctorate,Single,20,14126,268805,10,Female,West,Motor
Jeevan Umang,64,Doctor,150381,High School,Married,4,19900,473703,4,Other,Central,Health
Jeevan Rakshak,62,Doctor,59728,Doctorate,Married,22,36381,401024,5,Male,East,Agricultural
Jeevan Tarun,31,Engineer,105722,Doctorate,Widowed,12,23298,399446,3,Other,South,Motor
Jeevan Lakshya,30,Student,99156,Diploma,Single,12,27278,222718,7,Other,West,Travel
Jeevan Amar,27,Teacher,93544,Doctorate,Widowed,30,8036,160733,7,Male,South,Personal Accident
Jeevan Labh,51,Farmer,121277,Graduate,Divorced,9,26905,456120,2,Male,East,Commercial
Jeevan Shanti,33,Engineer,151878,Doctorate,Widowed,29,39457,494141,8,Male,East,Personal Accident
Jeevan Rakshak,50,Farmer,55541,Post Graduate,Widowed,29,24685,327693,10,Male,West,Agricultural
Jeevan Arogya,24,Farmer,68274,High School,Divorced,15,19770,377207,4,Male,North,Commercial
Jeevan Shanti,46,Business,31972,Doctorate,Single,21,27125,204434,8,Other,Central,Home
Jeevan Shanti,53,Engineer,106524,Post Graduate,Single,19,24695,263844,5,Male,West,Life
Jeevan Shanti,50,Business,42700,Post Graduate,Widowed,28,46299,341868,1,Other,North,Commercial
Jeevan Tarun,46,Business,73553,Doctorate,Married,23,6375,345066,3,Male,North,Life
Jeevan Shanti,25,Business,111788,Diploma,Single,8,38726,150068,3,Male,North,Home
Jeevan Shanti,30,Engineer,136502,Diploma,Single,15,15713,427880,4,Other,Central,Agricultural
Jeevan Arogya,24,Engineer,146843,High School,Widowed,18,28441,122729,9,Female,North,Travel
Jeevan Nidhi,21,Student,122465,High School,Married,18,39723,299432,10,Male,North,Health
Jeevan Shanti,64,Student,86714,Post Graduate,Widowed,12,49260,181657,1,Female,West,Home
Jeevan Amar,52,Teacher,173592,Graduate,Widowed,7,27627,258845,4,Male,East,Motor
Jeevan Tarun,46,Doctor,146889,Doctorate,Divorced,26,14276,230123,4,Male,South,Health
Jeevan Anand,52,Teacher,71713,Doctorate,Single,14,46375,358961,7,Male,South,Agricultural
Jeevan Anand,44,Business,137147,Graduate,Married,20,25401,497831,5,Female,East,Home
Jeevan Amar,21,Business,185906,High School,Single,11,14966,441607,3,Other,South,Life
Jeevan Amar,41,Teacher,134518,Doctorate,Single,20,42160,318866,8,Male,Central,Commercial
Jeevan Rakshak,63,Business,101124,High School,Single,27,21285,485664,5,Male,Central,Health
Jeevan Arogya,37,Student,91515,Post Graduate,Married,18,27375,303285,1,Other,South,Life
Jeevan Anand,22,Retired,189426,Doctorate,Widowed,2,24752,205600,5,Male,North,Commercial
Jeevan Arogya,34,Business,105966,Doctorate,Single,27,34938,493106,7,Male,West,Agricultural
Jeevan Labh,20,Farmer,34605,Doctorate,Married,25,32163,309472,9,Other,Central,Personal Accident
Jeevan Anand,39,Farmer,117991,High School,Single,20,42565,447012,2,Female,Central,Commercial
Jeevan Shanti,26,Student,81409,Post Graduate,Single,8,44987,199783,2,Male,East,Travel
Jeevan Shanti,57,Doctor,178107,Graduate,Widowed,4,34694,324212,7,Female,West,Home
Jeevan Amar,19,Student,150100,Doctorate,Widowed,19,15799,397723,1,Male,West,Agricultural
Jeevan Tarun,33,Retired,194469,High School,Divorced,28,49964,223506,2,Female,Central,Home
Jeevan Umang,28,Business,193652,Graduate,Single,27,5349,136191,4,Female,East,Personal Accident
Jeevan Arogya,35,Business,62859,Post Graduate,Married,21,23348,491119,4,Other,West,Life
Jeevan Labh,18,Teacher,130647,Diploma,Widowed,21,45429,166748,2,Other,South,Motor
Jeevan Arogya,45,Business,124936,High School,Divorced,20,29935,101875,2,Female,Central,Personal Accident
Jeevan Amar,19,Engineer,187450,Diploma,Married,30,45318,225765,7,Male,North,Agricultural
Jeevan Umang,21,Farmer,182170,Post Graduate,Married,26,40360,406570,10,Male,Central,Travel
Jeevan Umang,59,Unemployed,43841,Graduate,Divorced,8,11519,246927,8,Other,North,Commercial
Jeevan Anand,41,Doctor,115398,Diploma,Widowed,14,33056,238466,10,Female,North,Motor
Jeevan Rakshak,19,Unemployed,68312,Post Graduate,Married,1,25351,201273,9,Male,West,Personal Accident
Jeevan Lakshya,60,Retired,51220,High School,Divorced,11,15884,187585,10,Male,West,Travel
Jeevan Anand,35,Engineer,121037,Graduate,Married,19,33062,488436,4,Male,North,Health
Jeevan Labh,28,Retired,180778,Graduate,Divorced,8,25855,155142,2,Other,North,Health
Jeevan Labh,55,Engineer,91880,High School,Single,12,31550,339390,9,Other,Central,Agricultural
Jeevan Shanti,35,Doctor,196878,Post Graduate,Widowed,6,26362,142044,7,Male,Central,Commercial
Jeevan Anand,21,Unemployed,85044,Diploma,Widowed,5,19893,389557,6,Other,South,Commercial
Jeevan Shanti,27,Unemployed,169533,Post Graduate,Single,19,34263,231170,9,Female,West,Home
